time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180424:1710,92.8,79.42,68.86,0.0,11.94,19.45,2.21,0.0
20180424:1810,0.0,0.0,0.0,0.0,0.0,18.16,1.79,0.0
20180424:1910,0.0,0.0,0.0,0.0,0.0,16.8,2.0,0.0
20180424:2010,0.0,0.0,0.0,0.0,0.0,15.14,1.93,0.0
20180424:2110,0.0,0.0,0.0,0.0,0.0,13.81,2.07,0.0
20180424:2210,0.0,0.0,0.0,0.0,0.0,12.88,2.14,0.0
20180424:2310,0.0,0.0,0.0,0.0,0.0,12.16,2.14,0.0
20180425:0010,0.0,0.0,0.0,0.0,0.0,11.48,2.07,0.0
20180425:0110,0.0,0.0,0.0,0.0,0.0,11.24,2.0,0.0
20180425:0210,0.0,0.0,0.0,0.0,0.0,11.42,2.14,0.0
20180425:0310,0.0,0.0,0.0,0.0,0.0,11.98,2.41,0.0
20180425:0410,0.0,0.0,0.0,0.0,0.0,12.73,2.83,0.0
20180425:0510,42.43,27.25,49.8,0.0,7.86,13.13,3.03,0.0
20180425:0610,185.21,170.82,81.96,0.0,17.54,14.56,3.24,0.0
20180425:0710,339.34,310.94,112.35,0.01,27.21,16.3,3.93,0.0
20180425:0810,401.71,253.4,238.71,0.01,36.44,17.54,5.1,0.0
20180425:0910,478.68,291.25,295.01,0.01,44.58,18.14,5.24,0.0
20180425:1010,67.11,0.0,97.99,0.0,50.71,18.57,5.38,0.0
20180425:1110,527.08,282.52,367.18,0.01,53.61,18.88,5.31,0.0
20180425:1210,289.53,19.24,343.05,0.01,52.47,18.76,5.24,0.0
20180425:1310,416.84,145.75,365.62,0.01,47.63,17.74,5.45,0.0
20180425:1410,532.54,520.71,127.83,0.01,40.25,17.17,4.83,0.0
20180425:1510,390.89,334.98,145.62,0.01,31.42,16.34,4.07,0.0
20180425:1610,253.23,229.04,99.21,0.0,21.88,16.35,3.59,0.0
20180425:1710,102.32,106.2,56.84,0.0,12.16,16.0,2.97,0.0
20180425:1810,0.0,0.0,4.0,0.0,2.63,15.2,2.83,0.0
20180425:1910,0.0,0.0,0.0,0.0,0.0,14.38,2.55,0.0
20180425:2010,0.0,0.0,0.0,0.0,0.0,13.96,2.97,0.0
20180425:2110,0.0,0.0,0.0,0.0,0.0,12.96,2.9,0.0
20180425:2210,0.0,0.0,0.0,0.0,0.0,12.42,2.41,0.0
20180425:2310,0.0,0.0,0.0,0.0,0.0,12.08,2.41,0.0
20180426:0010,0.0,0.0,0.0,0.0,0.0,11.92,2.62,0.0
20180426:0110,0.0,0.0,0.0,0.0,0.0,11.72,2.69,0.0
20180426:0210,0.0,0.0,0.0,0.0,0.0,11.2,2.69,0.0
20180426:0310,0.0,0.0,0.0,0.0,0.0,10.58,2.76,0.0
20180426:0410,0.0,0.0,0.0,0.0,0.0,9.95,2.9,0.0
20180426:0510,49.28,37.0,50.73,0.0,8.13,9.45,2.97,0.0
20180426:0610,184.27,133.84,108.96,0.0,17.81,9.99,2.97,0.0
20180426:0710,357.72,308.87,124.37,0.01,27.49,10.89,4.48,0.0
20180426:0810,351.45,129.2,292.42,0.01,36.72,11.86,5.1,0.0
20180426:0910,417.63,147.63,353.59,0.01,44.88,12.55,4.83,0.0
20180426:1010,546.92,309.69,349.22,0.01,51.03,13.34,4.62,0.0
20180426:1110,485.04,177.18,410.8,0.01,53.93,14.18,4.55,0.0
20180426:1210,351.55,45.56,384.17,0.01,52.78,14.75,4.55,0.0
20180426:1310,467.83,206.44,362.87,0.01,47.91,15.46,4.55,0.0
20180426:1410,287.86,44.48,311.15,0.01,40.5,15.83,4.48,0.0
20180426:1510,300.23,121.05,249.36,0.01,31.64,15.67,4.28,0.0
20180426:1610,205.81,95.41,168.13,0.0,22.1,15.07,4.07,0.0
20180426:1710,104.59,88.32,71.83,0.0,12.37,14.52,3.52,0.0
20180426:1810,1.37,0.0,9.0,0.0,2.85,13.72,2.76,0.0
20180426:1910,0.0,0.0,0.0,0.0,0.0,12.68,1.86,0.0
20180426:2010,0.0,0.0,0.0,0.0,0.0,10.77,1.52,0.0
20180426:2110,0.0,0.0,0.0,0.0,0.0,10.15,1.31,0.0
20180426:2210,0.0,0.0,0.0,0.0,0.0,9.83,1.24,0.0
